,Company,TypeName,Inches,Ram,Gpu,OpSys,Weight,Price,Touch_Screen,IPS_Screen,HD_Screen,X_Res,Y_Res,Px_price_Index,Cpu_Brand,Processor,Memory_GB,HDD,SSD
0,Apple,Ultrabook,13.3,8,Intel Iris Plus Graphics 640,macOS,1.37,71378.6832,0,1,0,2560,1600,226.98300468106115,Intel,Intel Core i5,128,0,1
1,Apple,Ultrabook,13.3,8,Intel HD Graphics 6000,macOS,1.34,47895.5232,0,0,0,1440,900,127.67794013309688,Intel,Intel Core i5,128,0,0
2,HP,Notebook,15.6,8,Intel HD Graphics 620,No OS,1.86,30636.0,0,0,1,1920,1080,141.21199808219862,Intel,Intel Core i5,256,0,1
3,Apple,Ultrabook,15.4,16,AMD Radeon Pro 455,macOS,1.83,135195.336,0,1,0,2880,1800,220.53462386625827,Intel,Intel Core i7,512,0,1
4,Apple,Ultrabook,13.3,8,Intel Iris Plus Graphics 650,macOS,1.37,96095.808,0,1,0,2560,1600,226.98300468106115,Intel,Intel Core i5,256,0,1
5,Acer,Notebook,15.6,4,AMD Radeon R5,Windows 10,2.1,21312.0,0,0,0,1366,768,100.45466986113651,AMD,AMD Processor,500,1,0
6,Apple,Ultrabook,15.4,16,Intel Iris Pro Graphics,Mac OS X,2.04,114017.6016,0,1,0,2880,1800,220.53462386625827,Intel,Intel Core i7,256,0,0
7,Apple,Ultrabook,13.3,8,Intel HD Graphics 6000,macOS,1.34,61735.536,0,0,0,1440,900,127.67794013309688,Intel,Intel Core i5,256,0,0
8,Asus,Ultrabook,14.0,16,Nvidia GeForce MX150,Windows 10,1.3,79653.6,0,0,1,1920,1080,157.3505121487356,Intel,Intel Core i7,512,0,1
9,Acer,Ultrabook,14.0,8,Intel UHD Graphics 620,Windows 10,1.6,41025.6,0,1,1,1920,1080,157.3505121487356,Intel,Intel Core i5,256,0,1
10,HP,Notebook,15.6,4,Intel HD Graphics 620,No OS,1.86,20986.992,0,0,0,1366,768,100.45466986113651,Intel,Intel Core i5,500,1,0
11,HP,Notebook,15.6,4,Intel HD Graphics 520,No OS,1.86,18381.0672,0,0,1,1920,1080,141.21199808219862,Intel,Intel Core i3,500,1,0
12,Apple,Ultrabook,15.4,16,AMD Radeon Pro 555,macOS,1.83,130001.6016,0,1,0,2880,1800,220.53462386625827,Intel,Intel Core i7,256,0,1
13,Dell,Notebook,15.6,4,AMD Radeon R5 M430,Windows 10,2.2,26581.392,0,0,1,1920,1080,141.21199808219862,Intel,Intel Core i3,256,0,1
14,Apple,Ultrabook,12.0,8,Intel HD Graphics 615,macOS,0.92,67260.672,0,1,0,2304,1440,226.41554716935852,Intel,Other Intel Processor,256,0,1
15,Apple,Ultrabook,13.3,8,Intel Iris Plus Graphics 640,macOS,1.37,80908.344,0,1,0,2560,1600,226.98300468106115,Intel,Intel Core i5,256,0,1
16,Dell,Notebook,15.6,8,AMD Radeon R5 M430,Windows 10,2.2,39693.6,0,0,1,1920,1080,141.21199808219862,Intel,Intel Core i7,256,0,1
17,Apple,Ultrabook,15.4,16,AMD Radeon Pro 560,macOS,1.83,152274.24,0,1,0,2880,1800,220.53462386625827,Intel,Intel Core i7,512,0,1
18,Lenovo,Notebook,15.6,8,Nvidia GeForce 940MX,No OS,2.2,26586.72,0,0,1,1920,1080,141.21199808219862,Intel,Intel Core i3,1000,1,0
19,Dell,Ultrabook,13.3,8,Intel UHD Graphics 620,Windows 10,1.22,52161.12,1,1,1,1920,1080,165.6321180513006,Intel,Intel Core i5,128,0,1
21,Lenovo,Gaming,15.6,8,Nvidia GeForce GTX 1050,Windows 10,2.5,53226.72,0,1,1,1920,1080,141.21199808219862,Intel,Intel Core i5,128,1,1
22,HP,Notebook,15.6,4,AMD Radeon R2,No OS,1.86,13746.24,0,0,0,1366,768,100.45466986113651,AMD,AMD Processor,500,1,0
23,Dell,2 in 1 Convertible,13.3,8,Intel UHD Graphics 620,Windows 10,1.62,43636.32,1,0,1,1920,1080,165.6321180513006,Intel,Intel Core i5,256,0,1
24,HP,Ultrabook,15.6,8,Intel HD Graphics 620,Windows 10,1.91,35111.52,0,0,1,1920,1080,141.21199808219862,Intel,Intel Core i7,256,0,1
25,Dell,Notebook,15.6,4,Intel HD Graphics 520,Windows 10,2.3,22305.1392,0,0,0,1366,768,100.45466986113651,Intel,Intel Core i3,1000,1,0
26,Apple,Ultrabook,13.3,8,Intel HD Graphics 6000,Mac OS X,1.35,58554.72,0,0,0,1440,900,127.67794013309688,Intel,Intel Core i5,128,0,0
27,Dell,Notebook,15.6,8,AMD Radeon 530,Windows 10,2.2,42624.0,0,0,1,1920,1080,141.21199808219862,Intel,Intel Core i5,256,0,1
28,Dell,Ultrabook,15.6,8,Intel UHD Graphics 620,Windows 10,1.88,69157.44,0,0,1,1920,1080,141.21199808219862,Intel,Intel Core i7,256,0,1
29,HP,Notebook,17.3,8,Nvidia GeForce 930MX,Windows 10,2.5,47738.88,0,0,1,1920,1080,127.33567457123111,Intel,Intel Core i5,1000,1,0
30,Chuwi,Notebook,15.6,4,Intel HD Graphics,Windows 10,1.89,13053.0672,0,0,1,1920,1080,141.21199808219862,Intel,Other Intel Processor,64,0,0
31,Asus,Notebook,14.0,2,AMD Radeon R2,Windows 10,1.65,10602.72,0,0,0,1366,768,111.93520355955211,AMD,AMD Processor,32,0,0
32,HP,Notebook,17.3,4,AMD Radeon 530,Windows 10,2.71,23389.92,0,0,1,1920,1080,127.33567457123111,AMD,AMD Processor,500,1,0
33,Dell,Ultrabook,13.3,16,Intel UHD Graphics 620,Windows 10,1.2,99580.32,1,0,1,3200,1800,276.053530085501,Intel,Intel Core i7,512,0,1
34,Apple,Ultrabook,13.3,8,Intel HD Graphics 6000,Mac OS X,1.35,53173.44,0,0,0,1440,900,127.67794013309688,Intel,Intel Core i5,256,0,0
35,Lenovo,Notebook,14.0,4,Intel HD Graphics 500,Windows 10,1.44,13266.72,0,0,0,1366,768,111.93520355955211,Intel,Other Intel Processor,64,0,0
36,Acer,Notebook,15.6,4,Intel HD Graphics 620,Linux,2.1,19553.76,0,0,0,1366,768,100.45466986113651,Intel,Intel Core i3,1000,1,0
37,Dell,Notebook,17.3,8,AMD Radeon 530,Windows 10,2.8,52161.12,0,1,1,1920,1080,127.33567457123111,Intel,Intel Core i5,128,1,1
38,HP,Notebook,15.6,4,Intel HD Graphics 620,Windows 10,1.86,26037.4032,0,0,0,1366,768,100.45466986113651,Intel,Intel Core i5,1000,1,0
39,HP,Notebook,15.6,8,Nvidia GeForce 930MX ,Windows 10,2.1,46833.12,0,0,1,1920,1080,141.21199808219862,Intel,Intel Core i5,256,0,1
